first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id
Yvette,Clarke,Yvette D. Clarke,rep,NY,9.0,Democrat,repyvettedclarke,,0,208375572621634
Emanuel,Cleaver,Emanuel Cleaver,rep,MO,5.0,Democrat,emanuelcleaverii,,0,7954512692
James,Clyburn,James E. Clyburn,rep,SC,6.0,Democrat,jameseclyburn,,0,127744320598870
Steve,Cohen,Steve Cohen,rep,TN,9.0,Democrat,CongressmanSteveCohen,,0,6358769182
Tom,Cole,Tom Cole,rep,OK,4.0,Republican,TomColeOK04,,0,239866352781313
Gerald,Connolly,Gerald E. Connolly,rep,VA,11.0,Democrat,CongressmanGerryConnolly,Congressman Gerry Connolly,100045108333439,no match
Jim,Cooper,Jim Cooper,rep,TN,5.0,Democrat,JimCooper,,0,318714801543186
Jim,Costa,Jim Costa,rep,CA,16.0,Democrat,RepJimCosta,Congressman Jim Costa,100057718496123,704516012940877
Joe,Courtney,Joe Courtney,rep,CT,2.0,Democrat,joecourtney,Joe Courtney,100045079025366,6596078916
Michael,Crapo,Mike Crapo,sen,ID,,Republican,mikecrapo,,0,286049384763373
Eric,Crawford,"Eric A. ""Rick"" Crawford",rep,AR,1.0,Republican,RepRickCrawford,,0,no match
Henry,Cuellar,Henry Cuellar,rep,TX,28.0,Democrat,152569121550,,0,248922701788783
Danny,Davis,Danny K. Davis,rep,IL,7.0,Democrat,CongressmanDKDavis,,0,109673587226930
Peter,DeFazio,Peter A. DeFazio,rep,OR,4.0,Democrat,RepPeterDeFazio,Peter DeFazio,100044856351141,no match
Diana,DeGette,Diana DeGette,rep,CO,1.0,Democrat,DianaDeGette,,0,9068720389
Rosa,DeLauro,Rosa L. DeLauro,rep,CT,3.0,Democrat,CongresswomanRosaDeLauro,Rosa DeLauro,100044446690856,no match
Scott,DesJarlais,Scott DesJarlais,rep,TN,4.0,Republican,ScottDesJarlaisTN04,,0,no match
Theodore,Deutch,Theodore E. Deutch,rep,FL,22.0,Democrat,CongressmanTedDeutch,Congressman Ted Deutch,100044155463550,no match
Mario,Diaz-Balart,Mario Diaz-Balart,rep,FL,25.0,Republican,mdiazbalart,,0,9312415125
Lloyd,Doggett,Lloyd Doggett,rep,TX,35.0,Democrat,lloyddoggett,,0,6433783047
Michael,Doyle,Michael F. Doyle,rep,PA,18.0,Democrat,usrepmikedoyle,,0,no match
Jeff,Duncan,Jeff Duncan,rep,SC,3.0,Republican,RepJeffDuncan,,0,612876695419919
Anna,Eshoo,Anna G. Eshoo,rep,CA,18.0,Democrat,RepAnnaEshoo,,0,no match
Charles,Fleischmann,"Charles J. ""Chuck"" Fleischmann",rep,TN,3.0,Republican,repchuck,,0,no match
Jeff,Fortenberry,Jeff Fortenberry,rep,NE,1.0,Republican,jefffortenberry,,0,102247451379798
Virginia,Foxx,Virginia Foxx,rep,NC,5.0,Republican,RepVirginiaFoxx,,0,116487955096504
John,Garamendi,John Garamendi,rep,CA,3.0,Democrat,repgaramendi,,0,182567716746
Bob,Gibbs,Bob Gibbs,rep,OH,7.0,Republican,RepBobGibbs,,0,191159267565100
Louie,Gohmert,Louie Gohmert,rep,TX,1.0,Republican,50375006903,,0,no match
Paul,Gosar,Paul A. Gosar,rep,AZ,4.0,Republican,repgosar,Rep. Paul Gosar,100044080644052,no match
Kay,Granger,Kay Granger,rep,TX,12.0,Republican,RepKayGranger,Kay Granger,100044256918117,112767930190251
Charles,Grassley,Chuck Grassley,sen,IA,,Republican,grassley,,0,1626709737546995
Sam,Graves,Sam Graves,rep,MO,6.0,Republican,118514606128,,0,258648987534331
Al,Green,Al Green,rep,TX,9.0,Democrat,repalgreen,Rep. Al Green,100044385372786,224027854297805
H.,Griffith,H. Morgan Griffith,rep,VA,9.0,Republican,RepMorganGriffith,,0,no match
Raúl,Grijalva,Raúl M. Grijalva,rep,AZ,3.0,Democrat,Rep.Grijalva,Raul M. Grijalva,100044620061397,no match
