first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id
Cheri,Bustos,Cheri Bustos,rep,IL,17.0,Democrat,RepCheri,,0,189777861073219
Jackie,Walorski,Jackie Walorski,rep,IN,2.0,Republican,RepJackieWalorski,,0,282272406201
Garland,Barr,Andy Barr,rep,KY,6.0,Republican,RepAndyBarr,,0,129203152966
Elizabeth,Warren,Elizabeth Warren,sen,MA,,Democrat,senatorelizabethwarren,,0,38471053686
Angus,King,"Angus S. King, Jr.",sen,ME,,Independent,SenatorAngusSKingJr,,0,no match
Daniel,Kildee,Daniel T. Kildee,rep,MI,5.0,Democrat,RepDanKildee,,0,no match
Ann,Wagner,Ann Wagner,rep,MO,2.0,Republican,RepAnnWagner,,0,127216280686110
Steve,Daines,Steve Daines,sen,MT,,Republican,SteveDainesMT,Senator Steve Daines,100044199231545,176789922364429
Richard,Hudson,Richard Hudson,rep,NC,8.0,Republican,RepRichHudson,,0,106119737934606
Kevin,Cramer,Kevin Cramer,sen,ND,,Republican,CongressmanKevinCramer,,0,251734676525
Deb,Fischer,Deb Fischer,sen,NE,,Republican,senatordebfischer,,0,109592402468562
Ann,Kuster,Ann Kuster,rep,NH,2.0,Democrat,CongresswomanAnnieKuster,Congresswoman Annie Kuster,100044720431222,no match
Grace,Meng,Grace Meng,rep,NY,6.0,Democrat,repgracemeng,Grace Meng,100045073540372,983573491675080
Hakeem,Jeffries,Hakeem S. Jeffries,rep,NY,8.0,Democrat,RepHakeemJeffries,,0,no match
Sean,Maloney,Sean Patrick Maloney,rep,NY,18.0,Democrat,RepSeanMaloney,Rep. Sean Patrick Maloney,100044495827065,346390085432744
Brad,Wenstrup,Brad R. Wenstrup,rep,OH,2.0,Republican,RepBradWenstrup,Brad Wenstrup,100044377778080,no match
Joyce,Beatty,Joyce Beatty,rep,OH,3.0,Democrat,RepJoyceBeatty,Joyce Beatty,100044311455327,329286557095658
David,Joyce,David P. Joyce,rep,OH,14.0,Republican,RepDaveJoyce,Rep. Dave Joyce,100044470177938,no match
Markwayne,Mullin,Markwayne Mullin,rep,OK,2.0,Republican,RepMullin,,0,150763151677363
Scott,Perry,Scott Perry,rep,PA,10.0,Republican,repscottperry,Rep. Scott Perry,100044323905116,184104508356643
Matthew,Cartwright,Matt Cartwright,rep,PA,8.0,Democrat,CongressmanMattCartwright,Congressman Matt Cartwright,100044538935055,350692761610088
Tom,Rice,Tom Rice,rep,SC,7.0,Republican,reptomrice,Congressman Tom Rice,100044313345338,139766499461199
Ted,Cruz,Ted Cruz,sen,TX,,Republican,SenatorTedCruz,Senator Ted Cruz,100044423499786,69983322463
Randy,Weber,"Randy K. Weber, Sr.",rep,TX,14.0,Republican,TXRandy14,Congressman Randy Weber,100044455595316,no match
Joaquin,Castro,Joaquin Castro,rep,TX,20.0,Democrat,326420614138023,Congressman Joaquin Castro,100044718652227,219673188073606
Roger,Williams,Roger Williams,rep,TX,25.0,Republican,RepRogerWilliams,,0,45066294038
Marc,Veasey,Marc A. Veasey,rep,TX,33.0,Democrat,CongressmanMarcVeasey,Congressman Marc Veasey,100045313320763,no match
Filemon,Vela,Filemon Vela,rep,TX,34.0,Democrat,USCongressmanFilemonVela,Congressman Filemon Vela,100045125317959,392278561514332
Chris,Stewart,Chris Stewart,rep,UT,2.0,Republican,RepChrisStewart,Congressman Chris Stewart,100044411440267,172764672811067
Timothy,Kaine,Tim Kaine,sen,VA,,Democrat,SenatorKaine,,0,7656215652
Derek,Kilmer,Derek Kilmer,rep,WA,6.0,Democrat,derek.kilmer,Derek Kilmer,100044393647483,107199049318619
Mark,Pocan,Mark Pocan,rep,WI,2.0,Democrat,repmarkpocan,,0,436881033058309
Robin,Kelly,Robin L. Kelly,rep,IL,2.0,Democrat,reprobinkelly,Robin Kelly,100045080140134,no match
Jason,Smith,Jason Smith,rep,MO,8.0,Republican,repjasonsmith,Congressman Jason Smith,100044576192987,467804929927622
Cory,Booker,Cory A. Booker,sen,NJ,,Democrat,,,0,no match
Katherine,Clark,Katherine M. Clark,rep,MA,5.0,Democrat,CongresswomanClark,,0,no match
Donald,Norcross,Donald Norcross,rep,NJ,1.0,Democrat,DonaldNorcrossNJ,,0,591968597559569
Alma,Adams,Alma S. Adams,rep,NC,12.0,Democrat,CongresswomanAdams,"Congresswoman Alma S. Adams, PhD",100044794400197,no match
Gary,Palmer,Gary J. Palmer,rep,AL,6.0,Republican,CongressmanGaryPalmer,Congressman Gary Palmer,100044530758499,no match
J.,Hill,J. Hill,rep,AR,2.0,Republican,RepFrenchHill,,0,714442118654551
Bruce,Westerman,Bruce Westerman,rep,AR,4.0,Republican,RepWesterman,Congressman Bruce Westerman,100044627318649,521924961194913
Ruben,Gallego,Ruben Gallego,rep,AZ,7.0,Democrat,RepRubenGallego,Rep. Ruben Gallego,100044404540330,161183970656851
Mark,DeSaulnier,Mark DeSaulnier,rep,CA,11.0,Democrat,RepMarkDeSaulnier,Rep. Mark DeSaulnier,100044288956834,213999292067099
Pete,Aguilar,Pete Aguilar,rep,CA,31.0,Democrat,reppeteaguilar,Rep. Pete Aguilar,100045202234574,283932788322459
Ted,Lieu,Ted Lieu,rep,CA,33.0,Democrat,RepTedLieu,,0,167643896656391
Norma,Torres,Norma J. Torres,rep,CA,35.0,Democrat,RepNormaTorres,,0,no match
Ken,Buck,Ken Buck,rep,CO,4.0,Republican,repkenbuck,,0,74184744386
Earl,Carter,"Earl L. ""Buddy"" Carter",rep,GA,1.0,Republican,congressmanbuddycarter,Congressman Buddy Carter,100044233036282,no match
Jody,Hice,Jody B. Hice,rep,GA,10.0,Republican,CongressmanJodyHice,,0,no match
Barry,Loudermilk,Barry Loudermilk,rep,GA,11.0,Republican,reploudermilk,Congressman Barry Loudermilk,100045089229539,123276481201934
Rick,Allen,Rick W. Allen,rep,GA,12.0,Republican,CongressmanRickAllen,Congressman Rick Allen,100044564190648,no match
Mike,Bost,Mike Bost,rep,IL,12.0,Republican,RepBost,Rep. Mike Bost,100043862242825,505874336155964
Garret,Graves,Garret Graves,rep,LA,6.0,Republican,CongressmanGarretGraves,,0,662684547112113
Seth,Moulton,Seth Moulton,rep,MA,6.0,Democrat,CongressmanSethMoulton,,0,269499756522301
John,Moolenaar,John R. Moolenaar,rep,MI,4.0,Republican,RepMoolenaar,,0,no match
Debbie,Dingell,Debbie Dingell,rep,MI,12.0,Democrat,RepDebbieDingell,,0,294879797332635
Brenda,Lawrence,Brenda L. Lawrence,rep,MI,14.0,Democrat,395759603917487,Rep. Brenda Lawrence,100044327024736,no match
Tom,Emmer,Tom Emmer,rep,MN,6.0,Republican,reptomemmer,Congressman Tom Emmer,100044815463014,163101747070769
David,Rouzer,David Rouzer,rep,NC,7.0,Republican,RepRouzer,Rep. David Rouzer,100044355702998,119622908096040
Bonnie,Watson Coleman,Bonnie Watson Coleman,rep,NJ,12.0,Democrat,RepBonnie,,0,222190161304871
Lee,Zeldin,Lee M. Zeldin,rep,NY,1.0,Republican,RepLeeZeldin,,0,no match
Kathleen,Rice,Kathleen M. Rice,rep,NY,4.0,Democrat,RepKathleenRice,,0,no match
Elise,Stefanik,Elise M. Stefanik,rep,NY,21.0,Republican,RepEliseStefanik,Rep. Elise Stefanik,100044381141073,no match
John,Katko,John Katko,rep,NY,24.0,Republican,RepJohnKatko,Congressman John Katko,100044348443248,484300471681895
Brendan,Boyle,Brendan F. Boyle,rep,PA,2.0,Democrat,CongressmanBoyle,,0,no match
Brian,Babin,Brian Babin,rep,TX,36.0,Republican,RepBrianBabin,Rep. Brian Babin,100044375983242,683901068308643
Donald,Beyer,"Donald S. Beyer, Jr.",rep,VA,8.0,Democrat,RepDonBeyer,Congressman Don Beyer,100044424588071,no match
Stacey,Plaskett,Stacey E. Plaskett,rep,VI,0.0,Democrat,repstaceyplaskett,Congresswoman Stacey Plaskett,100050806146320,no match
Dan,Newhouse,Dan Newhouse,rep,WA,4.0,Republican,RepNewhouse,Rep. Dan Newhouse,100044409640227,309501559175104
Glenn,Grothman,Glenn Grothman,rep,WI,6.0,Republican,RepGrothman,,0,773301386014306
Alexander,Mooney,Alexander Mooney,rep,WV,2.0,Republican,CongressmanAlexMooney,Congressman Alex Mooney,100044928491860,no match
Aumua Amata,Radewagen,Aumua Amata Coleman Radewagen,rep,AS,0.0,Republican,aumuaamata,,0,no match
Dan,Sullivan,Dan Sullivan,sen,AK,,Republican,SenDanSullivan,Senator Dan Sullivan,100044483767390,698400060189827
Joni,Ernst,Joni Ernst,sen,IA,,Republican,senjoniernst,,0,586751814690068
Thom,Tillis,Thom Tillis,sen,NC,,Republican,SenatorThomTillis,,0,104987704684453
Mike,Rounds,Mike Rounds,sen,SD,,Republican,SenatorMikeRounds,U.S. Senator Mike Rounds,100044238915948,370185306396534
Benjamin,Sasse,Ben Sasse,sen,NE,,Republican,SenatorSasse,,0,207425149422656
Trent,Kelly,Trent Kelly,rep,MS,1.0,Republican,reptrentkelly,Representative Trent Kelly,100044573081370,855135964527710
Darin,LaHood,Darin LaHood,rep,IL,18.0,Republican,replahood,Rep. Darin LaHood,100044629050325,1404888666493762
Warren,Davidson,Warren Davidson,rep,OH,8.0,Republican,CongressmanWarrenDavidson,Congressman Warren Davidson,100044783221697,1671503326464563
James,Comer,James Comer,rep,KY,1.0,Republican,congressmancomer,Congressman James Comer,100044648137998,1888216188065538
Dwight,Evans,Dwight Evans,rep,PA,3.0,Democrat,RepDwightEvans,,0,895094683900337
John,Kennedy,John Kennedy,sen,LA,,Republican,JohnKennedyLouisiana,,0,491347857894708
Margaret,Hassan,Margaret Wood Hassan,sen,NH,,Democrat,SenatorHassan,,0,no match
Catherine,Cortez Masto,Catherine Cortez Masto,sen,NV,,Democrat,SenatorCortezMasto,,0,933921763326425
Bradley,Schneider,Bradley Scott Schneider,rep,IL,10.0,Democrat,CongressmanBradSchneider,Congressman Brad Schneider,100044780869664,no match
Tom,O’Halleran,Tom O’Halleran,rep,AZ,1.0,Democrat,repohalleran,,0,no match
Andy,Biggs,Andy Biggs,rep,AZ,5.0,Republican,RepAndyBiggs,Congressman Andy Biggs,100044390320909,183963015310306
Ro,Khanna,Ro Khanna,rep,CA,17.0,Democrat,RepRoKhanna,Rep. Ro Khanna,100044515176138,317667194946264
Jimmy,Panetta,Jimmy Panetta,rep,CA,20.0,Democrat,RepJimmyPanetta,,0,1667702233477156
Salud,Carbajal,Salud O. Carbajal,rep,CA,24.0,Democrat,repsaludcarbajal,,0,no match
Nanette,Barragán,Nanette Diaz Barragán,rep,CA,44.0,Democrat,CongresswomanBarragan,US Rep Nanette Diaz Barragán,100044740083870,965181706946254
J.,Correa,J. Luis Correa,rep,CA,46.0,Democrat,RepLouCorrea,,0,no match
Lisa,Blunt Rochester,Lisa Blunt Rochester,rep,DE,0.0,Democrat,Rep.BluntRochester,,0,1624206881186861
Matt,Gaetz,Matt Gaetz,rep,FL,1.0,Republican,CongressmanMattGaetz,Congressman Matt Gaetz,100044404090370,406456986070332
Neal,Dunn,Neal P. Dunn,rep,FL,2.0,Republican,drnealdunnfl2,,0,no match
John,Rutherford,John H. Rutherford,rep,FL,4.0,Republican,RepRutherfordFL,Congressman John Rutherford,100044334071227,no match
Al,Lawson,"Al Lawson, Jr.",rep,FL,5.0,Democrat,RepAlLawsonJr,Rep Al Lawson Jr.,100058062459613,no match
Stephanie,Murphy,Stephanie N. Murphy,rep,FL,7.0,Democrat,RepStephMurphy,U.S. Congresswoman Stephanie Murphy,100044901450384,no match
Darren,Soto,Darren Soto,rep,FL,9.0,Democrat,CongressmanDarrenSoto,,0,1798692620212857
Val,Demings,Val Butler Demings,rep,FL,10.0,Democrat,RepresentativeValDemings,,0,no match
Charlie,Crist,Charlie Crist,rep,FL,13.0,Democrat,RepCharlieCrist,Congressman Charlie Crist,100044456108915,147447783311
Brian,Mast,Brian J. Mast,rep,FL,18.0,Republican,repbrianmast,Congressman Brian Mast,100044157383419,no match
A.,Ferguson,A. Drew Ferguson IV,rep,GA,3.0,Republican,RepDrewFerguson,Congressman Drew Ferguson,100044629290307,no match
Raja,Krishnamoorthi,Raja Krishnamoorthi,rep,IL,8.0,Democrat,congressmanraja,,0,1844412109137727
Jim,Banks,Jim Banks,rep,IN,3.0,Republican,RepJimBanks,Congressman Jim Banks,100064574777029,119953292796
Trey,Hollingsworth,Trey Hollingsworth,rep,IN,9.0,Republican,reptrey,Representative Trey Hollingsworth,100044906118519,178051136001622
Roger,Marshall,Roger Marshall,sen,KS,,Republican,,,0,111324359048459
Clay,Higgins,Clay Higgins,rep,LA,3.0,Republican,CongressmanClayHiggins,Congressman Clay Higgins,100044641928314,581436541959362
Mike,Johnson,Mike Johnson,rep,LA,4.0,Republican,RepMikeJohnson,,0,449202631932231
Anthony,Brown,Anthony Brown,rep,MD,4.0,Democrat,RepAnthonyBrown,Anthony Brown,100044348361560,1351415261592848
Jamie,Raskin,Jamie Raskin,rep,MD,8.0,Democrat,repraskin,Rep. Jamie Raskin,100044407540585,297987334762
Jack,Bergman,Jack Bergman,rep,MI,1.0,Republican,RepJackBergman,Rep. Jack Bergman,100044497386878,1714470218843866
Ted,Budd,Ted Budd,rep,NC,13.0,Republican,RepTedBudd,Congressman Ted Budd,100044245908589,1585291608451100
Don,Bacon,Don Bacon,rep,NE,2.0,Republican,RepDonBacon,Congressman Don Bacon,100057293956777,101487585033774
Josh,Gottheimer,Josh Gottheimer,rep,NJ,5.0,Democrat,RepJoshG,Rep Josh Gottheimer,100044160383033,1024984580892392
Jacky,Rosen,Jacky Rosen,sen,NV,,Democrat,RepJackyRosen,,0,462669013928631
Thomas,Suozzi,Thomas R. Suozzi,rep,NY,3.0,Democrat,RepTomSuozzi,,0,no match
Adriano,Espaillat,Adriano Espaillat,rep,NY,13.0,Democrat,RepEspaillat,,0,1808068199405179
Brian,Fitzpatrick,Brian K. Fitzpatrick,rep,PA,1.0,Republican,repbrianfitzpatrick,,0,no match
Lloyd,Smucker,Lloyd Smucker,rep,PA,11.0,Republican,RepSmucker,Congressman Lloyd Smucker,100044571873473,1626954784219531
Jenniffer,González-Colón,Jenniffer González-Colón,rep,PR,0.0,Republican,RepJennifferGonzalezColon,,0,no match
David,Kustoff,David Kustoff,rep,TN,8.0,Republican,RepDavidKustoff,,0,1059320777468378
Vicente,Gonzalez,Vicente Gonzalez,rep,TX,15.0,Democrat,USCongressmanVicenteGonzalez,,0,206690159663661
Jodey,Arrington,Jodey C. Arrington,rep,TX,19.0,Republican,JodeyArrington,,0,no match
A.,McEachin,A. Donald McEachin,rep,VA,4.0,Democrat,RepMcEachin,Congressman Donald McEachin,100058013050152,299511650083944
Pramila,Jayapal,Pramila Jayapal,rep,WA,7.0,Democrat,RepJayapal,,0,221401431386940
Mike,Gallagher,Mike Gallagher,rep,WI,8.0,Republican,RepMikeGallagher,Rep. Mike Gallagher,100044260609716,533125513515803
Liz,Cheney,Liz Cheney,rep,WY,0.0,Republican,replizcheney,,0,548407915183371
Ron,Estes,Ron Estes,rep,KS,4.0,Republican,RepRonEstes,,0,1684674575133005
Ralph,Norman,Ralph Norman,rep,SC,5.0,Republican,RepRalphNorman,,0,315402818913523
Jimmy,Gomez,Jimmy Gomez,rep,CA,34.0,Democrat,RepJimmyGomez,Rep. Jimmy Gomez,100047019825444,154054825137425
John,Curtis,John R. Curtis,rep,UT,3.0,Republican,RepJohnCurtis,,0,no match
Tina,Smith,Tina Smith,sen,MN,,Democrat,USSenTinaSmith,U.S. Senator Tina Smith,100044342803525,2040270322863853
Cindy,Hyde-Smith,Cindy Hyde-Smith,sen,MS,,Republican,,,0,179042532903649
Conor,Lamb,Conor Lamb,rep,PA,17.0,Democrat,RepConorLamb,Rep. Conor Lamb,100057778552282,135002490472474
Debbie,Lesko,Debbie Lesko,rep,AZ,8.0,Republican,RepDebbieLesko,,0,590393634664831
Michael,Cloud,Michael Cloud,rep,TX,27.0,Republican,,,0,228056857335
Troy,Balderson,Troy Balderson,rep,OH,12.0,Republican,,,0,522923054735947
Kevin,Hern,Kevin Hern,rep,OK,1.0,Republican,,,0,339509270166412
Joseph,Morelle,Joseph D. Morelle,rep,NY,25.0,Democrat,,,0,no match
Mary,Scanlon,Mary Gay Scanlon,rep,PA,5.0,Democrat,,,0,406348549806000
Susan,Wild,Susan Wild,rep,PA,7.0,Democrat,,,0,497741237272262
Ed,Case,Ed Case,rep,HI,1.0,Democrat,,,0,385494895552183
Steven,Horsford,Steven Horsford,rep,NV,4.0,Democrat,,,0,156919911022572
Ann,Kirkpatrick,Ann Kirkpatrick,rep,AZ,2.0,Democrat,,,0,137746666253194
Greg,Stanton,Greg Stanton,rep,AZ,9.0,Democrat,,,0,346635392021104
Josh,Harder,Josh Harder,rep,CA,10.0,Democrat,,,0,1400772006635782
Katie,Porter,Katie Porter,rep,CA,45.0,Democrat,,,0,428821014132730
Mike,Levin,Mike Levin,rep,CA,49.0,Democrat,,,0,388316574835659
Joe,Neguse,Joe Neguse,rep,CO,2.0,Democrat,,,0,180252152142614
Jason,Crow,Jason Crow,rep,CO,6.0,Democrat,,,0,280704452367167
Jahana,Hayes,Jahana Hayes,rep,CT,5.0,Democrat,,,0,241247646424302
Michael,Waltz,Michael Waltz,rep,FL,6.0,Republican,,,0,252274592332946
W.,Steube,W. Gregory Steube,rep,FL,17.0,Republican,,,0,no match
Lucy,McBath,Lucy McBath,rep,GA,6.0,Democrat,,,0,2046092952294722
Michael,San Nicolas,Michael F. Q. San Nicolas,rep,GU,0.0,Democrat,CongressmanMichaelF.Q.SanNicolas,Congressman Michael F.Q. San Nicolas - Guam,100057709434580,no match
Cynthia,Axne,Cynthia Axne,rep,IA,3.0,Democrat,,,0,no match
Russ,Fulcher,Russ Fulcher,rep,ID,1.0,Republican,,,0,322194751726887
Jesús,García,"Jesús G. ""Chuy"" García",rep,IL,4.0,Democrat,,,0,no match
Sean,Casten,Sean Casten,rep,IL,6.0,Democrat,,,0,1934158976830122
Lauren,Underwood,Lauren Underwood,rep,IL,14.0,Democrat,,,0,241672016328637
James,Baird,James R. Baird,rep,IN,4.0,Republican,,,0,no match
Greg,Pence,Greg Pence,rep,IN,6.0,Republican,,,0,868348663497441
Sharice,Davids,Sharice Davids,rep,KS,3.0,Democrat,,,0,1790258774419239
Lori,Trahan,Lori Trahan,rep,MA,3.0,Democrat,,,0,598408017216304
Ayanna,Pressley,Ayanna Pressley,rep,MA,7.0,Democrat,,,0,79820371749
David,Trone,David J. Trone,rep,MD,6.0,Democrat,,,0,no match
Elissa,Slotkin,Elissa Slotkin,rep,MI,8.0,Democrat,,,0,1012679305536045
Andy,Levin,Andy Levin,rep,MI,9.0,Democrat,,,0,253507715172780
Haley,Stevens,Haley M. Stevens,rep,MI,11.0,Democrat,,,0,no match
Rashida,Tlaib,Rashida Tlaib,rep,MI,13.0,Democrat,,,0,134597023235240
Jim,Hagedorn,Jim Hagedorn,rep,MN,1.0,Republican,,,0,108252177711618
Angie,Craig,Angie Craig,rep,MN,2.0,Democrat,,,0,1642386799323957
Dean,Phillips,Dean Phillips,rep,MN,3.0,Democrat,,,0,225507764589310
Ilhan,Omar,Ilhan Omar,rep,MN,5.0,Democrat,,,0,780941275347834
Pete,Stauber,Pete Stauber,rep,MN,8.0,Republican,,,0,148899492344271
Michael,Guest,Michael Guest,rep,MS,3.0,Republican,,,0,1446823768756602
Kelly,Armstrong,Kelly Armstrong,rep,ND,0.0,Republican,,,0,809836039361670
Chris,Pappas,Chris Pappas,rep,NH,1.0,Democrat,,,0,154510321337994
Jefferson,Van Drew,Jefferson Van Drew,rep,NJ,2.0,Republican,,,0,no match
Andy,Kim,Andy Kim,rep,NJ,3.0,Democrat,,,0,1413682351987764
Tom,Malinowski,Tom Malinowski,rep,NJ,7.0,Democrat,,,0,858210161010020
Mikie,Sherrill,Mikie Sherrill,rep,NJ,11.0,Democrat,,,0,1156676274461345
Susie,Lee,Susie Lee,rep,NV,3.0,Democrat,,,0,868259909915525
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,rep,NY,14.0,Democrat,,,0,1316372698453411
Antonio,Delgado,Antonio Delgado,rep,NY,19.0,Democrat,,,0,359153387814647
Anthony,Gonzalez,Anthony Gonzalez,rep,OH,16.0,Republican,,,0,474676692900828
Madeleine,Dean,Madeleine Dean,rep,PA,4.0,Democrat,,,0,143909879708775
Chrissy,Houlahan,Chrissy Houlahan,rep,PA,6.0,Democrat,,,0,1819973358326612
Daniel,Meuser,Daniel Meuser,rep,PA,9.0,Republican,,,0,no match
John,Joyce,John Joyce,rep,PA,13.0,Republican,,,0,1054570378014827
Guy,Reschenthaler,Guy Reschenthaler,rep,PA,14.0,Republican,,,0,1955556614754164
William,Timmons,William R. Timmons IV,rep,SC,4.0,Republican,,,0,no match
Dusty,Johnson,Dusty Johnson,rep,SD,0.0,Republican,,,0,2099566776755945
Tim,Burchett,Tim Burchett,rep,TN,2.0,Republican,,,0,107330253280356
John,Rose,John Rose,rep,TN,6.0,Republican,,,0,448838595500528
Mark,Green,Mark E. Green,rep,TN,7.0,Republican,,,0,no match
Dan,Crenshaw,Dan Crenshaw,rep,TX,2.0,Republican,,,0,514167322309353
Van,Taylor,Van Taylor,rep,TX,3.0,Republican,,,0,340393855322
Lance,Gooden,Lance Gooden,rep,TX,5.0,Republican,,,0,139151419572310
Lizzie,Fletcher,Lizzie Fletcher,rep,TX,7.0,Democrat,,,0,374666643098092
Veronica,Escobar,Veronica Escobar,rep,TX,16.0,Democrat,,,0,261548845154
Chip,Roy,Chip Roy,rep,TX,21.0,Republican,,,0,193628397865385
Sylvia,Garcia,Sylvia R. Garcia,rep,TX,29.0,Democrat,,,0,no match
Colin,Allred,Colin Z. Allred,rep,TX,32.0,Democrat,,,0,no match
Elaine,Luria,Elaine G. Luria,rep,VA,2.0,Democrat,,,0,no match
Ben,Cline,Ben Cline,rep,VA,6.0,Republican,,,0,48631937877
Abigail,Spanberger,Abigail Davis Spanberger,rep,VA,7.0,Democrat,,,0,no match
Jennifer,Wexton,Jennifer Wexton,rep,VA,10.0,Democrat,,,0,191975737491988
Kim,Schrier,Kim Schrier,rep,WA,8.0,Democrat,,,0,1354622541311687
Bryan,Steil,Bryan Steil,rep,WI,1.0,Republican,,,0,1504873886306347
Carol,Miller,Carol D. Miller,rep,WV,3.0,Republican,,,0,no match
Rick,Scott,Rick Scott,sen,FL,,Republican,RickScottSenOffice,,0,370872766769375
Mike,Braun,Mike Braun,sen,IN,,Republican,,,0,164203030438398
Joshua,Hawley,Josh Hawley,sen,MO,,Republican,,,0,1636216106590985
Mitt,Romney,Mitt Romney,sen,UT,,Republican,,,0,107512540818740
Jared,Golden,Jared F. Golden,rep,ME,2.0,Democrat,,,0,no match
Fred,Keller,Fred Keller,rep,PA,12.0,Republican,CongressmanFredKeller,,0,2222844871168340
Dan,Bishop,Dan Bishop,rep,NC,9.0,Republican,repdanbishop,Congressman Dan Bishop,100058212543209,708346842676287
Gregory,Murphy,Gregory F. Murphy,rep,NC,3.0,Republican,RepGregMurphy,,0,no match
Kweisi,Mfume,Kweisi Mfume,rep,MD,7.0,Democrat,RepKweisiMfume,,0,110475903727400
Thomas,Tiffany,Thomas P. Tiffany,rep,WI,7.0,Republican,,,0,no match
Mike,Garcia,Mike Garcia,rep,CA,25.0,Republican,RepMikeGarcia,,0,2116141045107743
Chris,Jacobs,Chris Jacobs,rep,NY,27.0,Republican,,,0,1482684292028934
Mark,Kelly,Mark Kelly,sen,AZ,,Democrat,SenMarkKelly,Senator Mark Kelly,100046928411353,163148530407080
Cynthia,Lummis,Cynthia M. Lummis,sen,WY,,Republican,,,0,no match
Darrell,Issa,Darrell Issa,rep,CA,50.0,Republican,,,0,19463427992
Pete,Sessions,Pete Sessions,rep,TX,17.0,Republican,,,0,22753043010
David,Valadao,David G. Valadao,rep,CA,21.0,Republican,,,0,105596689621089
Tommy,Tuberville,Tommy Tuberville,sen,AL,,Republican,,,0,2225580284361712
John,Hickenlooper,John W. Hickenlooper,sen,CO,,Democrat,,,0,97493741436
Bill,Hagerty,Bill Hagerty,sen,TN,,Republican,,,0,656263988182462
Jerry,Carl,Jerry L. Carl,rep,AL,1.0,Republican,,,0,no match
Barry,Moore,Barry Moore,rep,AL,2.0,Republican,,,0,168857193154545
Jay,Obernolte,Jay Obernolte,rep,CA,8.0,Republican,,,0,221690171353068
Young,Kim,Young Kim,rep,CA,39.0,Republican,,,0,118502801658228
Michelle,Steel,Michelle Steel,rep,CA,48.0,Republican,,,0,1228396643984955
Sara,Jacobs,Sara Jacobs,rep,CA,53.0,Democrat,,,0,347844152343949
Lauren,Boebert,Lauren Boebert,rep,CO,3.0,Republican,,,0,107698564046392
Katherine,Cammack,Kat Cammack,rep,FL,3.0,Republican,,,0,103806957816376
C.,Franklin,C. Scott Franklin,rep,FL,15.0,Republican,,,0,no match
Byron,Donalds,Byron Donalds,rep,FL,19.0,Republican,,,0,154269528015922
Carlos,Gimenez,Carlos A. Gimenez,rep,FL,26.0,Republican,,,0,105624038154155
Maria,Salazar,Maria Elvira Salazar,rep,FL,27.0,Republican,,,0,666196620070127
Nikema,Williams,Nikema Williams,rep,GA,5.0,Democrat,,,0,1957446251204909
Carolyn,Bourdeaux,Carolyn Bourdeaux,rep,GA,7.0,Democrat,,,0,861706743991799
Andrew,Clyde,Andrew S. Clyde,rep,GA,9.0,Republican,,,0,no match
Marjorie,Greene,Marjorie Taylor Greene,rep,GA,14.0,Republican,,,0,1809715209318581
Kaialiʻi,Kahele,Kaiali’i Kahele,rep,HI,2.0,Democrat,,,0,no match
Ashley,Hinson,Ashley Hinson,rep,IA,1.0,Republican,,,0,894096170667732
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,rep,IA,2.0,Republican,,,0,1802584223384451
Randy,Feenstra,Randy Feenstra,rep,IA,4.0,Republican,,,0,1628922377207463
Marie,Newman,Marie Newman,rep,IL,3.0,Democrat,,,0,1495042817173727
Mary,Miller,Mary E. Miller,rep,IL,15.0,Republican,,,0,no match
Frank,Mrvan,Frank J. Mrvan,rep,IN,1.0,Democrat,,,0,no match
Victoria,Spartz,Victoria Spartz,rep,IN,5.0,Republican,,,0,1295279420598401
Tracey,Mann,Tracey Mann,rep,KS,1.0,Republican,,,0,61198206469
Jacob,LaTurner,Jake LaTurner,rep,KS,2.0,Republican,,,0,572946842722169
Jake,Auchincloss,Jake Auchincloss,rep,MA,4.0,Democrat,,,0,592250887586314
Peter,Meijer,Peter Meijer,rep,MI,3.0,Republican,,,0,451900515399684
Lisa,McClain,Lisa C. McClain,rep,MI,10.0,Republican,,,0,no match
Michelle,Fischbach,Michelle Fischbach,rep,MN,7.0,Republican,,,0,107037332686173
Cori,Bush,Cori Bush,rep,MO,1.0,Democrat,,,0,1000253160054572
Matthew,Rosendale,Matthew M. Rosendale,rep,MT,0.0,Republican,,,0,no match
Deborah,Ross,Deborah K. Ross,rep,NC,2.0,Democrat,,,0,no match
Kathy,Manning,Kathy E. Manning,rep,NC,6.0,Democrat,,,0,no match
David,Cawthorn,Madison Cawthorn,rep,NC,11.0,Republican,,,0,100233228182981
Yvette,Herrell,Yvette Herrell,rep,NM,2.0,Republican,,,0,103774718121881
Teresa,Leger Fernandez,Teresa Leger Fernandez,rep,NM,3.0,Democrat,,,0,301228420816284
Andrew,Garbarino,Andrew R. Garbarino,rep,NY,2.0,Republican,,,0,197834643693711
Nicole,Malliotakis,Nicole Malliotakis,rep,NY,11.0,Republican,,,0,1533092446942704
Ritchie,Torres,Ritchie Torres,rep,NY,15.0,Democrat,,,0,2142236792490640
Jamaal,Bowman,Jamaal Bowman,rep,NY,16.0,Democrat,,,0,399366360669553
Mondaire,Jones,Mondaire Jones,rep,NY,17.0,Democrat,,,0,2382869555319923
