,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
77,77,Anna,Eshoo,Anna G. Eshoo,rep,CA,18.0,Democrat,RepAnnaEshoo,,0,no match,missing,
78,78,Charles,Fleischmann,"Charles J. ""Chuck"" Fleischmann",rep,TN,3.0,Republican,repchuck,,0,no match,missing,
79,79,Jeff,Fortenberry,Jeff Fortenberry,rep,NE,1.0,Republican,jefffortenberry,,0,102247451379798,done,
80,80,Virginia,Foxx,Virginia Foxx,rep,NC,5.0,Republican,RepVirginiaFoxx,,0,116487955096504,done,
81,81,John,Garamendi,John Garamendi,rep,CA,3.0,Democrat,repgaramendi,,0,182567716746,done,
82,82,Bob,Gibbs,Bob Gibbs,rep,OH,7.0,Republican,RepBobGibbs,,0,191159267565100,done,
83,83,Louie,Gohmert,Louie Gohmert,rep,TX,1.0,Republican,50375006903,,0,no match,missing,
84,84,Paul,Gosar,Paul A. Gosar,rep,AZ,4.0,Republican,repgosar,Rep. Paul Gosar,100044080644052,no match,missing,
85,85,Kay,Granger,Kay Granger,rep,TX,12.0,Republican,RepKayGranger,Kay Granger,100044256918117,112767930190251,done,
86,86,Charles,Grassley,Chuck Grassley,sen,IA,,Republican,grassley,,0,1626709737546995,done,
87,87,Sam,Graves,Sam Graves,rep,MO,6.0,Republican,118514606128,,0,258648987534331,done,
88,88,Al,Green,Al Green,rep,TX,9.0,Democrat,repalgreen,Rep. Al Green,100044385372786,224027854297805,done,
89,89,H.,Griffith,H. Morgan Griffith,rep,VA,9.0,Republican,RepMorganGriffith,,0,no match,missing,
90,90,Raúl,Grijalva,Raúl M. Grijalva,rep,AZ,3.0,Democrat,Rep.Grijalva,Raul M. Grijalva,100044620061397,no match,missing,
91,91,Brett,Guthrie,Brett Guthrie,rep,KY,2.0,Republican,CongressmanGuthrie,,0,21836146886,done,
92,92,Andy,Harris,Andy Harris,rep,MD,1.0,Republican,AndyHarrisMD,,0,113771221981233,done,
93,93,Vicky,Hartzler,Vicky Hartzler,rep,MO,4.0,Republican,Congresswoman.Hartzler,,0,113511682005041,done,
94,94,Martin,Heinrich,Martin Heinrich,sen,NM,,Democrat,MartinHeinrich,Senator Martin Heinrich,100044238679030,137363449669160,done,
95,95,Jaime,Herrera Beutler,Jaime Herrera Beutler,rep,WA,3.0,Republican,herrerabeutler,Jaime Herrera Beutler,100044428599704,177551525610164,done,
96,96,Brian,Higgins,Brian Higgins,rep,NY,26.0,Democrat,RepBrianHiggins,,0,15087035334,done,
97,97,James,Himes,James A. Himes,rep,CT,4.0,Democrat,CongressmanJimHimes,,0,no match,missing,
98,98,Mazie,Hirono,Mazie K. Hirono,sen,HI,,Democrat,senatorhirono,,0,no match,missing,
99,99,John,Hoeven,John Hoeven,sen,ND,,Republican,SenatorJohnHoeven,Senator John Hoeven,100044866340344,no match,missing,
100,100,Steny,Hoyer,Steny H. Hoyer,rep,MD,5.0,Democrat,WhipHoyer,,0,no match,missing,
101,101,Bill,Huizenga,Bill Huizenga,rep,MI,2.0,Republican,RepHuizenga,,0,129208720460165,done,
102,102,Sheila,Jackson Lee,Sheila Jackson Lee,rep,TX,18.0,Democrat,CongresswomanSheilaJacksonLee,Congresswoman Sheila Jackson Lee,100044202950815,552403241860058,done,
103,103,Bill,Johnson,Bill Johnson,rep,OH,6.0,Republican,RepBillJohnson,Bill Johnson,100044241828943,208149456389,done,
104,104,Eddie,Johnson,Eddie Bernice Johnson,rep,TX,30.0,Democrat,CongresswomanEBJtx30,,0,no match,missing,
105,105,Henry,Johnson,"Henry C. ""Hank"" Johnson, Jr.",rep,GA,4.0,Democrat,115356957005,Congressman Hank Johnson,100044497151545,no match,missing,
106,106,Ron,Johnson,Ron Johnson,sen,WI,,Republican,senronjohnson,,0,119707748062556,done,
107,107,Jim,Jordan,Jim Jordan,rep,OH,4.0,Republican,repjimjordan,Jim Jordan,100044528765819,7814597100,done,
108,108,Marcy,Kaptur,Marcy Kaptur,rep,OH,9.0,Democrat,RepresentativeMarcyKaptur,,0,173753129419169,done,
109,109,William,Keating,William R. Keating,rep,MA,9.0,Democrat,Congressman.Keating,,0,no match,missing,
110,110,Mike,Kelly,Mike Kelly,rep,PA,16.0,Republican,191056827594903,Representative Mike Kelly,100044579347462,331707031806,done,
111,111,Ron,Kind,Ron Kind,rep,WI,3.0,Democrat,repronkind,Rep. Ron Kind,100044805845460,6396394069,done,
112,112,Adam,Kinzinger,Adam Kinzinger,rep,IL,16.0,Republican,RepKinzinger,Rep. Adam Kinzinger,100044305065600,62009756135,done,
113,113,Doug,Lamborn,Doug Lamborn,rep,CO,5.0,Republican,CongressmanDougLamborn,Congressman Doug Lamborn,100045095824211,no ad account,done,modified
114,114,James,Langevin,James R. Langevin,rep,RI,2.0,Democrat,CongressmanJimLangevin,,0,no match,missing,
115,115,James,Lankford,James Lankford,sen,OK,,Republican,SenatorLankford,Senator James Lankford,100044432946364,151092200743,done,
116,116,Rick,Larsen,Rick Larsen,rep,WA,2.0,Democrat,RepRickLarsen,Representative Rick Larsen,100044630520266,20809300888,done,
117,117,John,Larson,John B. Larson,rep,CT,1.0,Democrat,RepJohnLarson,,0,107556969286867,done,
118,118,Robert,Latta,Robert E. Latta,rep,OH,5.0,Republican,boblatta,,0,no match,missing,
119,119,Patrick,Leahy,Patrick J. Leahy,sen,VT,,Democrat,SenatorPatrickLeahy,,0,no match,missing,
120,120,Barbara,Lee,Barbara Lee,rep,CA,13.0,Democrat,RepBarbaraLee,,0,176548369099092,done,
121,121,Mike,Lee,Mike Lee,sen,UT,,Republican,senatormikelee,United States Senator Mike Lee,100044151473855,203550842430,done,
122,122,Zoe,Lofgren,Zoe Lofgren,rep,CA,19.0,Democrat,zoelofgren,,0,6540213748,done,
123,123,Billy,Long,Billy Long,rep,MO,7.0,Republican,Rep.Billy.Long,,0,225418785297,done,
124,124,Frank,Lucas,Frank D. Lucas,rep,OK,3.0,Republican,RepFrankLucas,Congressman Frank Lucas,100044780551768,no match,missing,
125,125,Blaine,Luetkemeyer,Blaine Luetkemeyer,rep,MO,3.0,Republican,BlaineLuetkemeyer,,0,315324541967534,done,
126,126,Ben,Luján,Ben Ray Luján,sen,NM,,Democrat,,,0,13063797831,done,
127,127,Stephen,Lynch,Stephen F. Lynch,rep,MA,8.0,Democrat,repstephenlynch,,0,544559152234818,done,
128,128,Carolyn,Maloney,Carolyn B. Maloney,rep,NY,12.0,Democrat,RepCarolynMaloney,Rep. Carolyn B. Maloney,100057727794330,7835151610,done,
129,129,Edward,Markey,Edward J. Markey,sen,MA,,Democrat,EdJMarkey,,0,no match,missing,
130,130,Doris,Matsui,Doris O. Matsui,rep,CA,6.0,Democrat,doris.matsui,,0,no match,missing,
131,131,Kevin,McCarthy,Kevin McCarthy,rep,CA,23.0,Republican,CongressmanKevinMcCarthy,,0,159964696102,missing,
132,132,Michael,McCaul,Michael T. McCaul,rep,TX,10.0,Republican,michaeltmccaul,Michael McCaul,100045271561555,no match,missing,
133,133,Tom,McClintock,Tom McClintock,rep,CA,4.0,Republican,81125319109,,0,11234736860,done,
134,134,Betty,McCollum,Betty McCollum,rep,MN,4.0,Democrat,repbettymccollum,Congresswoman Betty McCollum,100045099313469,282013615225217,done,
135,135,James,McGovern,James P. McGovern,rep,MA,2.0,Democrat,RepJimMcGovern,Congressman Jim McGovern,100044176372463,no match,missing,
136,136,Patrick,McHenry,Patrick T. McHenry,rep,NC,10.0,Republican,CongressmanMcHenry,Patrick McHenry,100044297570801,no match,missing,
137,137,David,McKinley,David B. McKinley,rep,WV,1.0,Republican,RepMcKinley,,0,no match,missing,
138,138,Cathy,Rodgers,Cathy McMorris Rodgers,rep,WA,5.0,Republican,mcmorrisrodgers,,0,15351475322,done,
139,139,Jerry,McNerney,Jerry McNerney,rep,CA,9.0,Democrat,jerrymcnerney,Congressman Jerry McNerney,100058093540766,6553468980,done,
140,140,Gregory,Meeks,Gregory W. Meeks,rep,NY,5.0,Democrat,gregorymeeksny05,,0,no match,missing,
141,141,Gwen,Moore,Gwen Moore,rep,WI,4.0,Democrat,GwenSMoore,,0,146490545545796,done,
142,142,Jerry,Moran,Jerry Moran,sen,KS,,Republican,jerrymoran,,0,no match,missing,
143,143,Lisa,Murkowski,Lisa Murkowski,sen,AK,,Republican,SenLisaMurkowski,Lisa Murkowski,100044343943390,no match,missing,
144,144,Christopher,Murphy,Christopher Murphy,sen,CT,,Democrat,chrismurphyct,Chris Murphy,100044529455512,474444949963480,done,
145,145,Patty,Murray,Patty Murray,sen,WA,,Democrat,,,0,131182018871,missing,
146,146,Jerrold,Nadler,Jerrold Nadler,rep,NY,10.0,Democrat,CongressmanNadler,,0,no match,missing,
147,147,Grace,Napolitano,Grace F. Napolitano,rep,CA,32.0,Democrat,RepGraceNapolitano,,0,no match,missing,
148,148,Richard,Neal,Richard E. Neal,rep,MA,1.0,Democrat,reprichardneal,,0,no match,missing,
149,149,Eleanor,Norton,Eleanor Holmes Norton,rep,DC,0.0,Democrat,CongresswomanNorton,,0,19575976198,done,
150,150,Devin,Nunes,Devin Nunes,rep,CA,22.0,Republican,,,0,834645469890446,missing,
151,151,Steven,Palazzo,Steven M. Palazzo,rep,MS,4.0,Republican,stevenpalazzo,Congressman Steven Palazzo,100044636820202,no match,missing,
152,152,Frank,Pallone,"Frank Pallone, Jr.",rep,NJ,6.0,Democrat,repfrankpallone,Frank Pallone Jr.,100044903760147,no match,missing,
153,153,Bill,Pascrell,"Bill Pascrell, Jr.",rep,NJ,9.0,Democrat,pascrell,,0,303312929155,done,
154,154,Rand,Paul,Rand Paul,sen,KY,,Republican,SenatorRandPaul,Senator Rand Paul,100044348473513,54172246106,done,
155,155,Nancy,Pelosi,Nancy Pelosi,rep,CA,12.0,Democrat,NancyPelosi,House Speaker Nancy Pelosi,100044484547468,1711465445765878,done,
156,156,Ed,Perlmutter,Ed Perlmutter,rep,CO,7.0,Democrat,RepPerlmutter,,0,7801901317,done,
157,157,Gary,Peters,Gary C. Peters,sen,MI,,Democrat,SenGaryPeters,Senator Gary Peters,100044411500204,no match,missing,
158,158,Chellie,Pingree,Chellie Pingree,rep,ME,1.0,Democrat,ChelliePingree,,0,7536934917,done,
159,159,Robert,Portman,Rob Portman,sen,OH,,Republican,senrobportman,,0,45243961073,done,
160,160,Bill,Posey,Bill Posey,rep,FL,8.0,Republican,bill.posey15,,0,280117065340803,done,
161,161,David,Price,David E. Price,rep,NC,4.0,Democrat,RepDavidEPrice,,0,no match,missing,
162,162,Mike,Quigley,Mike Quigley,rep,IL,5.0,Democrat,repmikequigley,Mike Quigley,100044421279783,122732761250977,done,
163,163,Tom,Reed,Tom Reed,rep,NY,23.0,Republican,RepTomReed,Rep. Tom Reed,100044304540164,153594440504,done,
164,164,Harold,Rogers,Harold Rogers,rep,KY,5.0,Republican,CongressmanHalRogers,Congressman Hal Rogers,100044814489669,no match,missing,
165,165,Mike,Rogers,Mike Rogers,rep,AL,3.0,Republican,CongressmanMikeDRogers,,0,6406874733,done,
166,166,Lucille,Roybal-Allard,Lucille Roybal-Allard,rep,CA,40.0,Democrat,RepRoybalAllard,Rep. Lucille Roybal-Allard,100045750427666,1702437206742877,done,
167,167,Marco,Rubio,Marco Rubio,sen,FL,,Republican,SenatorMarcoRubio,Senator Marco Rubio,100044386058003,58736997707,done,
168,168,C.,Ruppersberger,C. A. Dutch Ruppersberger,rep,MD,2.0,Democrat,DutchRupp,,0,no match,missing,
169,169,Bobby,Rush,Bobby L. Rush,rep,IL,1.0,Democrat,congressmanbobbyrush,Congressman Bobby L. Rush,100046980950439,no match,missing,
170,170,Tim,Ryan,Tim Ryan,rep,OH,13.0,Democrat,timryan,,0,197908256931216,done,
171,171,Gregorio,Sablan,Gregorio Kilili Camacho Sablan,rep,MP,0.0,Democrat,153423912663,Gregorio Kilili Camacho Sablan,100047143423918,153423912663,done,
172,172,John,Sarbanes,John P. Sarbanes,rep,MD,3.0,Democrat,RepSarbanes,Congressman John Sarbanes,100045256262332,no match,missing,
173,173,Steve,Scalise,Steve Scalise,rep,LA,1.0,Republican,RepSteveScalise,Congressman Steve Scalise,100044574243354,745304825534862,done,
174,174,Janice,Schakowsky,Janice D. Schakowsky,rep,IL,9.0,Democrat,janschakowsky,Jan Schakowsky,100044410630117,no match,missing,
175,175,Adam,Schiff,Adam B. Schiff,rep,CA,28.0,Democrat,RepAdamSchiff,Congressman Adam Schiff,100044453648646,no match,missing,
176,176,Kurt,Schrader,Kurt Schrader,rep,OR,5.0,Democrat,repschrader,Congressman Kurt Schrader,100044865212421,17146554445,done,
177,177,Charles,Schumer,Charles E. Schumer,sen,NY,,Democrat,senschumer,Senator Chuck Schumer,100044238375809,no match,missing,
178,178,David,Schweikert,David Schweikert,rep,AZ,6.0,Republican,repdavidschweikert,,0,157652584384932,done,
179,179,Austin,Scott,Austin Scott,rep,GA,8.0,Republican,RepAustinScott,Rep. Austin Scott,100044139954294,131177916946914,done,
180,180,David,Scott,David Scott,rep,GA,13.0,Democrat,113303673339,Congressman David Scott,100047215571162,159817223047,done,
181,181,Robert,Scott,"Robert C. ""Bobby"" Scott",rep,VA,3.0,Democrat,RepBobbyScott,Congressman Bobby Scott,100045212670157,no match,missing,
182,182,Tim,Scott,Tim Scott,sen,SC,,Republican,SenatorTimScott,Tim Scott,100044205380834,349068689306,done,
183,183,Terri,Sewell,Terri Sewell,rep,AL,7.0,Democrat,RepSewell,Rep. Terri Sewell,100044561645892,429681917483068,done,
184,184,Richard,Shelby,Richard C. Shelby,sen,AL,,Republican,RichardShelby,Senator Richard Shelby,100044773532258,no match,missing,
185,185,Brad,Sherman,Brad Sherman,rep,CA,30.0,Democrat,63158229861,Congressman Brad Sherman,100044693033679,63158229861,done,
186,186,Michael,Simpson,Michael K. Simpson,rep,ID,2.0,Republican,96007744606,,0,no match,missing,
187,187,Albio,Sires,Albio Sires,rep,NJ,8.0,Democrat,81058818750,Albio Sires,100045256502221,211797415586435,done,
188,188,Adam,Smith,Adam Smith,rep,WA,9.0,Democrat,RepAdamSmith,Rep. Adam Smith,100044182491773,95538659845,done,
189,189,Adrian,Smith,Adrian Smith,rep,NE,3.0,Republican,,,0,5962789983,done,
190,190,Christopher,Smith,Christopher H. Smith,rep,NJ,4.0,Republican,RepChrisSmith,,0,no match,missing,
191,191,Jackie,Speier,Jackie Speier,rep,CA,14.0,Democrat,JackieSpeier,Congresswoman Jackie Speier,100044408410371,99332606976,done,
192,192,Linda,Sánchez,Linda T. Sánchez,rep,CA,38.0,Democrat,CongresswomanLindaSanchez,,0,no match,missing,
193,193,Bennie,Thompson,Bennie G. Thompson,rep,MS,2.0,Democrat,CongressmanBennieGThompson,,0,no match,missing,
194,194,Mike,Thompson,Mike Thompson,rep,CA,5.0,Democrat,RepMikeThompson,,0,112743960260284,done,
195,195,Glenn,Thompson,Glenn Thompson,rep,PA,15.0,Republican,CongressmanGT,Glenn Thompson,100057630506007,no ad account,done,modified
196,196,John,Thune,John Thune,sen,SD,,Republican,,,0,63002536261,done,
197,197,Paul,Tonko,Paul Tonko,rep,NY,20.0,Democrat,reppaultonko,Paul D. Tonko,100045149076953,30671144824,done,
198,198,Patrick,Toomey,Patrick J. Toomey,sen,PA,,Republican,senatortoomey,,0,no match,missing,
199,199,Michael,Turner,Michael R. Turner,rep,OH,10.0,Republican,RepMikeTurner,Mike Turner,100044190921043,no match,missing,
200,200,Fred,Upton,Fred Upton,rep,MI,6.0,Republican,RepFredUpton,Fred Upton,100044373589903,68563629337,missing,
201,201,Chris,Van Hollen,Chris Van Hollen,sen,MD,,Democrat,chrisvanhollen,,0,7320486731,done,
202,202,Nydia,Velázquez,Nydia M. Velázquez,rep,NY,7.0,Democrat,8037068318,,0,no match,missing,
203,203,Tim,Walberg,Tim Walberg,rep,MI,7.0,Republican,RepWalberg,Rep Tim Walberg,100044152703467,9268326479,done,
204,204,Debbie,Wasserman Schultz,Debbie Wasserman Schultz,rep,FL,23.0,Democrat,RepDWS,Rep. Debbie Wasserman Schultz,100044638800139,6444958138,done,
205,205,Maxine,Waters,Maxine Waters,rep,CA,43.0,Democrat,MaxineWaters,,0,no ad account,done,modified
206,206,Daniel,Webster,Daniel Webster,rep,FL,11.0,Republican,RepWebster,,0,188572961157305,done,
207,207,Peter,Welch,Peter Welch,rep,VT,0.0,Democrat,PeterWelch,,0,no match,missing,
208,208,Joe,Wilson,Joe Wilson,rep,SC,2.0,Republican,JoeWilson,,0,143654793536,done,
209,209,Frederica,Wilson,Frederica S. Wilson,rep,FL,24.0,Democrat,RepWilson,,0,no match,missing,
210,210,Robert,Wittman,Robert J. Wittman,rep,VA,1.0,Republican,RepRobWittman,Rep. Rob Wittman,100044426469931,no match,missing,
211,211,Steve,Womack,Steve Womack,rep,AR,3.0,Republican,RepSteveWomack,,0,no match,missing,
212,212,Ron,Wyden,Ron Wyden,sen,OR,,Democrat,,,0,54787697857,done,
213,213,John,Yarmuth,John A. Yarmuth,rep,KY,3.0,Democrat,214258646163,Congressman John Yarmuth (KY-3),100044285683368,no match,missing,
214,214,Don,Young,Don Young,rep,AK,0.0,Republican,RepDonYoung,Congressman Don Young,100044852987202,1494279480805358,done,
215,215,Todd,Young,Todd Young,sen,IN,,Republican,SenatorToddYoung,Senator Todd Young,100044136504228,405355946226766,done,
216,216,Mark,Amodei,Mark E. Amodei,rep,NV,2.0,Republican,MarkAmodeiNV2,,0,no match,missing,
