,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
113,113,Doug,Lamborn,Doug Lamborn,rep,CO,5.0,Republican,CongressmanDougLamborn,Congressman Doug Lamborn,100045095824211,no ad account,done,modified
195,195,Glenn,Thompson,Glenn Thompson,rep,PA,15.0,Republican,CongressmanGT,Glenn Thompson,100057630506007,no ad account,done,modified
205,205,Maxine,Waters,Maxine Waters,rep,CA,43.0,Democrat,MaxineWaters,,0,no ad account,done,modified
248,248,Richard,Hudson,Richard Hudson,rep,NC,8.0,Republican,RepRichHudson,,0,229083393820990,done,modified
279,279,J.,Hill,J. Hill,rep,AR,2.0,Republican,RepFrenchHill,,0,1374601146109275,done,modified
314,314,Thom,Tillis,Thom Tillis,sen,NC,,Republican,SenatorThomTillis,,0,375301089246439,done,modified
322,322,John,Kennedy,John Kennedy,sen,LA,,Republican,JohnKennedyLouisiana,,0,160513344045084,done,modified
533,533,Claudia,Tenney,Claudia Tenney,rep,NY,22.0,Republican,,,0,183020072173458,done,modified
